statement_id,publication_date,panel_type,poll_title,question_label,statement_text,issue_categories,broad_topic_categories,confidence_weighted_direction,confidence_weighted_score,weighted_share_agree,weighted_share_disagree,weighted_share_uncertain,poll_url
us-stock-prices__question-a,2011-10-31,US,Stock Prices,Question A,"Unless they have inside information, very few investors, if any, can consistently make accurate predictions about whether the price of an individual stock will rise or fall on a given day.",Banking; Financial regulation; Monetary policy,"Finance, banking, and markets; Macroeconomics and monetary",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/stock-prices/
us-drug-use-policies__question-a,2011-12-12,US,Drug Use Policies,Question A,"All else equal, making drugs illegal raises street prices for those drugs because suppliers require extra compensation for the risk of incarceration and other punishments.",Political economy; Public finance; Taxation,Political economy and institutions; Public finance and fiscal policy,Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/drug-use-policies/
us-gold-standard__question-b,2012-01-12,US,Gold Standard,Question B,There are many factors besides US inflation risk that influence the current dollar price of gold.,Trade; International economics; Monetary policy,International trade and globalization; Macroeconomics and monetary,Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/gold-standard/
us-china-us-trade__question-a,2012-06-19,US,China-US Trade,Question A,"Trade with China makes most Americans better off because, among other advantages, they can buy goods that are made or assembled more cheaply in China.",Trade; International economics; Labor markets,"International trade and globalization; Labor, education, and inequality",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/china-us-trade/
us-online-sales-taxes__question-a,2012-07-31,US,Online Sales Taxes,Question A,Subjecting online sales from out-of-state vendors to the same retail sales taxes imposed on in-state sales would raise more tax revenue in the states making this change while reducing the pro-online bias of current policy.,Antitrust/competition; Taxation; Fiscal policy; Public finance,"Competition, regulation, and industrial policy; Public finance and fiscal policy",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/online-sales-taxes/
us-ethanol__question-b,2012-09-19,US,Ethanol,Question B,"A direct disincentive to emit carbon-dioxide, for example through a carbon tax or an emissions permit market, is more efficient than requiring the use of corn-based ethanol fuels.",Climate/environment; Energy; Trade; International economics; Taxation,"Climate, energy, and environment; International trade and globalization; Public finance and fiscal policy",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/ethanol/
us-taxi-competition__question-a,2014-09-29,US,Taxi Competition,Question A,"Letting car services such as Uber or Lyft compete with taxi firms on equal footing regarding genuine safety and insurance requirements, but without restrictions on prices or routes, raises consumer welfare.",Antitrust/competition,"Competition, regulation, and industrial policy",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/taxi-competition/
us-dynamic-scoring__question-a,2015-02-10,US,Dynamic Scoring,Question A,"Changing federal income tax rates, or the income bases to which those rates apply, can affect federal tax revenues partly by altering people’s behavior, and thus their actual or reported incomes.",Political economy; Taxation; Fiscal policy; Public finance; Growth/productivity,"Growth, productivity, and technology; Political economy and institutions; Public finance and fiscal policy",Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/dynamic-scoring/
us-vaccines__question-a,2015-03-10,US,Vaccines,Question A,"Declining to be vaccinated against contagious diseases such as measles imposes costs on other people, which is a negative externality.",Healthcare; Political economy,Health and social policy; Political economy and institutions,Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/vaccines/
us-nash-equilibrium__question-a,2015-06-02,US,Nash Equilibrium,Question A,"Behavior in many complex and seemingly intractable strategic settings can be understood more clearly by working out what each party in the game will choose to do if they realize that the other parties will be solving the same problem. This insight has helped us understand behavior as diverse as military conflicts, price setting by competing firms and penalty kicking in soccer.",Political economy,Political economy and institutions,Agree,1.000000,1.000000,0.000000,0.000000,https://kentclarkcenter.org/surveys/nash-equilibrium/
